Company name,Symbol,Currency,Market cap,P/E ratio,Return on assets (5 yr avg) (%),Return on assets (Recent yr) (%)
Kaveri Seed Company Ltd,532899,₹,31.88B,19.75,15.92,5.35
Rupa and Company Ltd,533552,₹,31.82B,49.01,10.16,10.37
NOCIL Limited,500730,₹,31.80B,46.11,9.2,16.38
Deepak Nitrite Ltd.,506401,₹,30.60B,47.1,5.16,6.32
Jamna Auto Industries Ltd,520051,₹,30.22B,26.6,9.11,20.09
Gabriel India Limited,505714,₹,29.16B,34.41,9.63,11.32
Gujarat Ambuja Exports Limited,524226,₹,28.70B,22.12,8.54,10.14
Just Dial Ltd,535648,₹,28.47B,21.58,14.06,10.49
Dhanuka Agritech Ltd,507717,₹,27.91B,23.66,17.88,17.44
Eveready Industries India Ltd,531508,₹,27.28B,21.42,5.1,12.68
Granules India Ltd,532482,₹,27.02B,15.77,8.03,8.13
TVS Srichakra Limited,509243,₹,26.96B,67.9,10.59,12.69
TV Today Network Ltd.,532515,₹,26.58B,77.8,11.24,14.21
Vesuvius India Ltd,520113,₹,26.46B,27.51,12.15,11.83
Ingersoll Rand India Limited,500210,₹,25.61B,34.01,6.34,6.53
Igarashi Motors India Ltd.,517380,₹,24.36B,35.4,13.3,15.39
Maithan Alloys Ltd,590078,₹,24.21B,54.38,9.71,22.58
Advanced Enzyme Technologies Ltd,540025,₹,23.78B,28.84,13.66,17.99
Mayur Uniquoters Ltd,522249,₹,23.64B,31.07,19.24,17.39
Unichem Laboratories Limited,506690,₹,23.54B,81.32,9,7.74
Geojit Financial Services Ltd,532285,₹,23.47B,34.6,5.47,8.03
Skipper Ltd,538562,₹,23.45B,19.41,6.94,8.84
Swaraj Engines Limited,500407,₹,23.35B,30.09,18.23,19.42
Tata Coffee Ltd.,532301,₹,22.89B,15.7,6.57,8.07
VST Tillers Tractors Limited,531266,₹,22.88B,23.02,15.21,12.46
Vaibhav Global Ltd,532156,₹,22.64B,22.41,10.25,9.11
Suven Life Sciences Ltd.,530239,₹,22.50B,31.33,15.47,11.13
Indoco Remedies Ltd,532612,₹,22.44B,52.21,8.34,7.21
Gateway Distriparks Ltd.,532622,₹,22.11B,18.13,9.87,6.42
Music Broadcast Ltd,540366,₹,21.99B,53.55,8.62,5.86
Tide Water Oil Co India Ltd,590005,₹,21.68B,37.58,13.88,12.28
Sona Koyo Steering Systems Limited,520057,₹,21.56B,58.55,5.84,5.11
8K Miles Software Services Ltd,512161,₹,21.16B,13.33,24.25,31.06
Take Solutions Ltd,532890,₹,21.07B,15.4,10.02,10.39
Garware-Wall Ropes Ltd.,509557,₹,20.76B,24.66,6.91,9.14
Kwality Ltd,531882,₹,20.53B,19.09,7.99,6.96
Borosil Glass Works Ltd,502219,₹,20.42B,67.46,6.98,14.96
Wonderla Holidays Ltd,538268,₹,20.27B,53.06,14,6.78
Transport Corporation of India Limited,532349,₹,20.20B,57.31,6.99,7.1
Tasty Bite Eatables Ltd,519091,₹,20.13B,73.78,10.75,15.14
Savita Oil Technologies Ltd,524667,₹,20.12B,17.41,5.33,8.53
IG Petrochemicals Ltd,500199,₹,20.09B,33.45,5.61,15.86
HT Media Ltd,532662,₹,20.07B,7.79,6.36,5.4
Accelya Kale Solutions Ltd,532268,₹,19.96B,22.26,37.39,39.37
Kewal Kiran Clothing Limited,532732,₹,19.42B,28.3,17.72,18.56
Bliss GVS Pharma Limited,506197,₹,18.96B,12.99,11.73,13.31
Bharat Rasayan Ltd,590021,₹,18.88B,25.36,10.26,15.72
Balaji Amines Limited,530999,₹,18.88B,32.62,8.15,13.29
Orient Refractories Ltd,534076,₹,18.56B,23.96,22.64,20.6
Quick Heal Technologies Ltd,539678,₹,18.54B,27.97,12.93,7.34
Tata Metaliks Limited,513434,₹,18.48B,12.52,5.71,12.14
Geometric Ltd,532312,₹,17.54B,11.86,12.2,9.05
Hindustan Media Ventures Ltd,533217,₹,17.28B,9.68,15.58,14.08
Merck Ltd,500126,₹,17.18B,21.38,8.96,9.11
LG Balakrishnan & Bros Ltd,500250,₹,17.12B,52.03,8.24,7.87
Hinduja Global Solutions Ltd,532859,₹,16.72B,8.87,6.19,7.26
DFM Foods Ltd,519588,₹,16.62B,73.31,8.61,8.2
Eros International Media Limited,533261,₹,16.46B,8.28,8.13,6.78
Ashiana Housing Ltd.,523716,₹,16.33B,24.8,6.63,5.58
Infinite Computer Solutions (In) Ltd,533154,₹,16.30B,15.85,8.02,6.68
Kitex Garments Limited,521248,₹,16.17B,14.88,17.6,16.53
Elantas Beck India Ltd,500123,₹,16.02B,28.8,17.6,17.33
EIH Associated Hotels Ltd.,523127,₹,15.99B,38.88,8.52,12.7
Sharda Motor Industries Ltd,535602,₹,15.69B,44.49,6.31,10.1
Banco Products (I) Ltd.,500039,₹,15.56B,15.36,9.58,9.94
